bus_stop,latitude,longitude,line
Saint Corneille,49.41665234,2.82287024
Saint Côme - Mémorial,49.40347318,2.80724547,5
Saint Fiacre,49.40709784,2.81297802,3
Saint Jacques,49.4170052,2.82668764,4
Saint Joseph,49.40908661,2.82020558,3
Saint Joseph,49.40908661,2.82020558,2
Saint-Lazare,49.41188185,2.83181544,1
Salle des Sports,49.41279039,2.82711553,2
Soissons,49.42250293,2.83542941
Solférino,49.41854839,2.82493987,1
Solférino,49.41854839,2.82493987,2
Solférino,49.41854839,2.82493987,4
Sous-Préfecture,49.41581974,2.83320277,1
Sports Nautiques,49.42268485,2.83051504,3
Square Bonnault,49.4072625,2.82791626,2
Square Nolet,49.41358227,2.79949022,4
Stade Robert Dubois,49.43015188,2.82557362,2
Stade du Clos des Roses,49.40728067,2.80064489,3
Stalingrad,49.39390218,2.79895507,1
Veneurs,49.41101775,2.83004486
Verdun,49.40288786,2.82787441,1
Vermandois,49.43153544,2.84080606,3
Victoire,49.40480199,2.82326738,1
Victor Hugo,49.41575076,2.83031065
Vivier Corax,49.3960908,2.79981434,1
Weygand,49.40667877,2.80760524,2
